zone_id,weighted_inflow,downstream_count,pagerank,weighted_inflow_norm,pagerank_norm,sequential_centrality,visits,unique_users,latitude,longitude,category_count
882a100d21fffff,0.0005646159861954916,3,0.017417797562169254,0.3086457313400368,0.18451514690248333,0.2714065560087707,6844,640,40.74182613395383,-73.98822168291204,6
882a103b1dfffff,0.00035485085129522385,1,0.0337729289948448,0.19397821385228703,0.43839786804757613,0.26730411011087374,499,115,40.6453209893988,-73.77726164747494,4
882a100d23fffff,0.0002713137265132968,6,0.032546190981799596,0.14831288094859804,0.4193550626646853,0.22962553546342418,3670,627,40.733749135049045,-73.98773752760218,6
882a1072cdfffff,0.00022697839756405212,4,0.03190989338126185,0.12407709882002962,0.40947773658218933,0.20969729014867752,3365,525,40.730763750977715,-74.00353549286478,6
882a103b6bfffff,0.0004401601426393962,1,0.012590186670620344,0.24061229659309305,0.10957554798691405,0.20130127201123932,92,2,40.66726067,-73.79829884,1
882a107253fffff,0.0003473047169367327,1,0.015813110788910217,0.1898531408561068,0.159605396329241,0.18077881749804706,602,199,40.751650714435215,-74.00162539116279,6
882a1046abfffff,0.00040280056803255907,1,0.010233024684479815,0.2201897908387351,0.07298503193483796,0.17602836316756595,139,44,40.82895932935252,-74.14110231021583,4
882a1054b3fffff,0.00038483063720917834,1,0.010233024684479815,0.2103665789979144,0.07298503193483796,0.16915211487899146,84,19,40.89806773511905,-74.09484088845238,4
882a1008d9fffff,0.0001874443089131274,1,0.022565271409520846,0.10246590111599986,0.2644200179069368,0.15105213615328095,709,74,40.804560865204515,-73.93916017768689,5
882a100d43fffff,0.00022208600946974744,1,0.017852257387198776,0.12140268871070777,0.19125932031746096,0.1423596781927337,371,70,40.752092281886796,-73.94080004363882,6
882a10189bfffff,0.00011636427347662409,1,0.02471248936779421,0.06361020085713519,0.2977515469369589,0.1338526046810823,43,2,40.912175,-73.851171,1
882a100d27fffff,0.00013785513809399467,4,0.021540878247079526,0.07535812119437736,0.24851823658077576,0.12730615581029686,4002,651,40.736741644167914,-73.99415028276862,6
882a100d09fffff,0.00021028198595272527,1,0.014494890780896871,0.11495005265320714,0.13914250466248876,0.12220778825599161,487,89,40.74677872071869,-73.94745517404517,6
882a10548bfffff,0.00022208600946974744,1,0.010233024684479815,0.12140268871070777,0.07298503193483796,0.10687739167794683,116,47,40.918841704913795,-74.07543985456897,4
882a10721bfffff,0.00010222261833227797,3,0.017911478593548854,0.05587970508460838,0.19217861840317457,0.09676937908017824,2740,495,40.7401516044708,-74.0049654464708,6
882a107643fffff,0.00015910639484399813,1,0.010233024684479815,0.08697506056886524,0.07298503193483796,0.08277805197865705,299,18,40.643522808428095,-73.90409114016722,4
882a100e83fffff,9.029755867381732e-05,1,0.012377372160349245,0.04936090496284778,0.10627200211269128,0.06643423410780083,461,51,40.70188815221258,-73.80315707572669,5
882a1008bbfffff,0.00010344909602397267,1,0.010233024684479815,0.05655015564460065,0.07298503193483796,0.06148061853167184,1737,304,40.77704710728267,-73.9802540441278,6
882a100d29fffff,4.912202049177549e-05,1,0.01368139247110987,0.02685241351691891,0.12651447012875033,0.056751030500468334,3684,469,40.74699788315419,-73.98050022016015,6
882a107259fffff,6.128188550465498e-05,2,0.01209595078321227,0.03349956932131878,0.10190346338770187,0.054020737541233696,621,244,40.76470313983897,-73.9949229778422,6
